GameID,StadiumID,TournamentID,Team_a,Team_b,GameDate,Attendence,Stage
314,65,20,24,10,"Wednesday July 5, 2006",66000,Semi-finals
315,72,20,5,49,"Sunday June 11, 2006",41000,Group stage
316,70,20,5,62,"Friday June 16, 2006",43000,Group stage
317,76,20,49,62,"Wednesday June 21, 2006",38000,Group stage
318,70,20,2,63,"Monday June 12, 2006",43000,Group stage
319,74,20,2,27,"Saturday June 17, 2006",46000,Group stage
320,75,20,64,2,"Thursday June 22, 2006",50000,Group stage
321,74,20,2,65,"Monday June 26, 2006",46000,Round of 16
322,75,20,2,67,"Friday June 30, 2006",50000,Quarter-finals
323,67,20,2,10,"Sunday July 9, 2006",69000,Final
324,73,20,64,63,"Saturday June 17, 2006",45000,Group stage
325,72,20,63,27,"Thursday June 22, 2006",41000,Group stage
326,66,20,13,63,"Tuesday June 27, 2006",65000,Round of 16
327,69,20,27,64,"Monday June 12, 2006",52000,Group stage
328,67,20,13,51,"Tuesday June 13, 2006",72000,Group stage
329,65,20,13,65,"Sunday June 18, 2006",66000,Group stage
330,66,20,53,13,"Thursday June 22, 2006",65000,Group stage
331,71,20,13,10,"Saturday July 1, 2006",48000,Quarter-finals
332,74,20,65,53,"Monday June 12, 2006",46000,Group stage
333,68,20,51,65,"Thursday June 22, 2006",52000,Group stage
334,72,20,53,51,"Sunday June 18, 2006",41000,Group stage
335,68,20,10,38,"Tuesday June 13, 2006",52000,Group stage
336,66,20,66,38,"Monday June 19, 2006",65000,Group stage
337,70,20,38,4,"Friday June 23, 2006",43000,Group stage
338,73,20,38,67,"Monday June 26, 2006",45000,Round of 16
339,76,20,10,4,"Sunday June 18, 2006",43000,Group stage
340,73,20,66,10,"Friday June 23, 2006",45000,Group stage
341,70,20,14,10,"Tuesday June 27, 2006",43000,Round of 16
342,71,20,4,66,"Tuesday June 13, 2006",48000,Group stage
343,76,20,14,67,"Wednesday June 14, 2006",43000,Group stage
344,68,20,14,50,"Monday June 19, 2006",52000,Group stage
345,74,20,45,14,"Friday June 23, 2006",46000,Group stage
346,75,20,45,67,"Monday June 19, 2006",50000,Group stage
347,67,20,67,50,"Friday June 23, 2006",72000,Group stage
348,65,20,50,45,"Wednesday June 14, 2006",66000,Group stage
349,77,24,19,10,"Friday June 11, 2010",64100,Group stage
350,78,24,47,19,"Wednesday June 16, 2010",42658,Group stage
351,79,24,5,19,"Tuesday June 22, 2010",33425,Group stage
352,80,24,19,4,"Saturday June 26, 2010",30597,Round of 16
353,81,24,19,63,"Friday July 2, 2010",84017,Quarter-finals
354,77,24,19,36,"Tuesday July 6, 2010",62479,Semi-finals
355,80,24,19,40,"Saturday July 10, 2010",36254,Third-place match
356,81,24,47,5,"Friday June 11, 2010",84490,Group stage
357,82,24,10,5,"Thursday June 17, 2010",35370,Group stage
358,81,24,1,5,"Sunday June 27, 2010",84377,Round of 16
359,83,24,10,47,"Tuesday June 22, 2010",39415,Group stage
360,84,24,1,42,"Saturday June 12, 2010",55686,Group stage
361,81,24,1,4,"Thursday June 17, 2010",82174,Group stage
362,82,24,43,1,"Tuesday June 22, 2010",38891,Group stage
363,77,24,1,40,"Saturday July 3, 2010",64100,Quarter-finals
364,80,24,4,43,"Saturday June 12, 2010",31513,Group stage
365,85,24,42,4,"Tuesday June 22, 2010",61874,Group stage
366,83,24,43,42,"Thursday June 17, 2010",31593,Group stage
367,79,24,22,27,"Saturday June 12, 2010",38646,Group stage
368,84,24,55,27,"Friday June 18, 2010",45573,Group stage
369,78,24,27,16,"Wednesday June 23, 2010",35827,Group stage
370,79,24,27,63,"Saturday June 26, 2010",34976,Round of 16
371,77,24,22,16,"Friday June 18, 2010",64100,Group stage
372,80,24,55,22,"Wednesday June 23, 2010",36893,Group stage
373,83,24,40,22,"Sunday June 27, 2010",40510,Round of 16
374,82,24,16,55,"Sunday June 13, 2010",30325,Group stage
375,85,24,40,65,"Sunday June 13, 2010",62660,Group stage
376,80,24,40,48,"Friday June 18, 2010",38294,Group stage
377,81,24,63,40,"Wednesday June 23, 2010",83391,Group stage
378,85,24,40,14,"Wednesday July 7, 2010",60960,Semi-finals
379,78,24,48,63,"Sunday June 13, 2010",38833,Group stage
380,79,24,63,65,"Saturday June 19, 2010",34812,Group stage
381,86,24,65,48,"Wednesday June 23, 2010",37836,Group stage
382,81,24,36,17,"Monday June 14, 2010",83465,Group stage
383,85,24,36,53,"Saturday June 19, 2010",62010,Group stage
384,77,24,28,36,"Thursday June 24, 2010",63093,Group stage
385,85,24,36,68,"Monday June 28, 2010",61962,Round of 16
386,80,24,36,13,"Friday July 2, 2010",40186,Quarter-finals
387,81,24,36,14,"Sunday July 11, 2010",84490,Final
388,83,24,53,28,"Monday June 14, 2010",30620,Group stage
389,79,24,17,53,"Thursday June 24, 2010",27967,Group stage
390,78,24,6,53,"Tuesday June 29, 2010",36742,Round of 16
391,78,24,28,17,"Saturday June 19, 2010",38074,Group stage
392,77,24,2,6,"Monday June 14, 2010",62869,Group stage
393,83,24,68,6,"Sunday June 20, 2010",26643,Group stage
394,82,24,6,69,"Thursday June 24, 2010",34850,Group stage
395,84,24,6,14,"Saturday July 3, 2010",55359,Quarter-finals
396,79,24,69,68,"Tuesday June 15, 2010",23871,Group stage
397,84,24,68,2,"Thursday June 24, 2010",53412,Group stage
398,86,24,2,69,"Sunday June 20, 2010",38229,Group stage
399,84,24,13,70,"Tuesday June 15, 2010",54331,Group stage
400,81,24,13,60,"Sunday June 20, 2010",84455,Group stage
401,85,24,24,13,"Friday June 25, 2010",62712,Group stage
402,84,24,13,46,"Monday June 28, 2010",54096,Round of 16
403,80,24,60,24,"Tuesday June 15, 2010",37034,Group stage
404,77,24,24,70,"Monday June 21, 2010",63644,Group stage
405,77,24,14,24,"Tuesday June 29, 2010",62955,Round of 16
406,86,24,70,60,"Friday June 25, 2010",34763,Group stage
407,85,24,14,38,"Wednesday June 16, 2010",62453,Group stage
408,84,24,14,71,"Monday June 21, 2010",54386,Group stage
409,78,24,46,14,"Friday June 25, 2010",41958,Group stage
410,86,24,71,46,"Wednesday June 16, 2010",32664,Group stage
411,80,24,46,38,"Monday June 21, 2010",34872,Group stage
412,83,24,38,71,"Friday June 25, 2010",28042,Group stage
413,77,24,2,6,"Monday June 14, 2010",62869,Group stage
414,83,24,68,6,"Sunday June 20, 2010",26643,Group stage
415,82,24,6,69,"Thursday June 24, 2010",34850,Group stage
416,84,24,6,14,"Saturday July 3, 2010",55359,Quarter-finals
417,79,24,69,68,"Tuesday June 15, 2010",23871,Group stage
418,84,24,68,2,"Thursday June 24, 2010",53412,Group stage
419,86,24,2,69,"Sunday June 20, 2010",38229,Group stage
420,84,24,13,70,"Tuesday June 15, 2010",54331,Group stage
421,81,24,13,60,"Sunday June 20, 2010",84455,Group stage
422,85,24,24,13,"Friday June 25, 2010",62712,Group stage
423,84,24,13,46,"Monday June 28, 2010",54096,Round of 16
424,80,24,60,24,"Tuesday June 15, 2010",37034,Group stage
425,77,24,24,70,"Monday June 21, 2010",63644,Group stage
426,77,24,14,24,"Tuesday June 29, 2010",62955,Round of 16
427,86,24,70,60,"Friday June 25, 2010",34763,Group stage
428,85,24,14,38,"Wednesday June 16, 2010",62453,Group stage
429,84,24,14,71,"Monday June 21, 2010",54386,Group stage
430,78,24,46,14,"Friday June 25, 2010",41958,Group stage
431,86,24,71,46,"Wednesday June 16, 2010",32664,Group stage
432,80,24,46,38,"Monday June 21, 2010",34872,Group stage
