
Name,Position,Height,Weight,Born
César Zabala,DF,181,77,"June 3, 1961"
Juan Torales,DF,173,0,"March 9, 1956"
Alfredo Mendoza,FW-MF,172,68,"December 12, 1963"
Vladimiro Schettina,DF,185,0,"October 8, 1955"
Jorge Guasch,MF,174,72,"January 17, 1961"
Ramón Hicks,FW,174,69,"May 30, 1959"
Francisco Alcaraz,FW-MF,0,0,"October 4, 1960"
Faustino Alonso,FW,176,0,"February 15, 1961"
Jorge Battaglia,GK,183,82,"May 12, 1960"
Luis Caballero,DF,0,0,"September 17, 1962"
Eufemio Cabral,MF,0,0,"March 21, 1955"
Virginio Cáceres,DF,175,69,"May 21, 1962"
Rolando Chilavert,MF,177,72,"May 22, 1961"
Julián Coronel,GK,0,0,"October 23, 1958"
Evaristo Isasi,FW-MF,173,0,"October 26, 1955"
Jan Ceulemans,FW-MF,188,84,"February 28, 1957"
Jean-Marie Pfaff,GK,180,78,"December 4, 1953"
Enzo Scifo,MF,178,73,"February 19, 1966"
Nico Claesen,FW,171,0,"October 1, 1962"
Stéphane Demol,DF,190,78,"March 11, 1966"
Eric Gerets,DF,182,77,"May 18, 1954"
Franky Vercauteren,DF-MF,174,0,"October 28, 1956"
Patrick Vervoort,DF-MF,178,76,"January 17, 1965"
Georges Grün,DF,184,79,"January 25, 1962"
Daniel Veyt,FW,174,0,"December 9, 1956"
Michel Renquin,DF,180,0,"November 3, 1955"
Franky Van der Elst,MF,185,0,"April 30, 1961"
Hugo Broos,DF,180,0,"April 10, 1952"
Philippe Desmet,FW-MF,181,0,"November 29, 1958"
Michel De Wolf,DF,171,0,"January 19, 1958"
René Vandereycken,MF,175,73,"July 22, 1953"
Raymond Mommens,FW-MF,180,0,"December 27, 1958"
Erwin Vandenbergh,FW,184,75,"January 26, 1959"
Leo Van der Elst,MF,180,0,"January 7, 1962"
Lei Clijsters,DF,178,0,"November 9, 1956"
Gilbert Bodart,GK,181,82,"September 2, 1962"
Jacky Munaron,GK,180,0,"September 8, 1956"
Khalil Allawi,DF,178,71,"September 6, 1958"
Ali Hussein Shihab,MF,173,68,"May 5, 1961"
Ghanim Oraibi,DF,170,70,"August 16, 1961"
Ahmed Radhi,FW,186,0,"March 21, 1964"
Nadhum Shaker,DF,176,80,"April 13, 1958"
Natik Hashim,DF-MF,186,0,"January 15, 1960"
Raad Hammoudi,GK,0,0,"April 20, 1953"
Samir Shaker,DF-MF,0,0,"February 28, 1958"
Karim Saddam,DF-FW,0,0,"May 26, 1960"
Haris Mohammed,MF,0,0,"March 3, 1958"
Basil Gorgis,MF,180,75,"September 6, 1961"
Basim Qasim,MF,0,0,"March 22, 1959"
Maad Ibrahim,DF,0,0,"June 30, 1960"
Fatah Nsaief,GK,185,78,"February 2, 1951"
Hussein Saeed,FW,180,74,"January 21, 1958"
Anad Abid,DF-MF,0,0,"August 3, 1955"
Rahim Hameed,FW,0,0,"May 23, 1963"
Shaker Mahmoud,DF-MF,175,75,"May 5, 1960"
Jamal Ali,MF,0,0,"February 2, 1956"
Karim Allawi,DF-MF,0,0,"April 1, 1960"
Ahmad Jassim,GK,0,0,"May 4, 1960"
Ismail Mohammed Sharif,MF,0,0,"April 17, 1962"
Sergei Aleinikov,MF,182,74,"November 7, 1961"
Oleh Kuznetsov,DF,184,0,"March 22, 1963"
Igor Belanov,FW-MF,173,68,"September 25, 1960"
Volodymyr Bezsonov,DF-MF,180,0,"March 5, 1958"
Rinat Dasayev,GK,189,82,"June 13, 1957"
Anatoliy Demyanenko,DF-MF,180,0,"February 19, 1959"
Vasyl Rats,DF-MF,175,0,"March 25, 1961"
Ivan Yaremchuk,MF,168,0,"March 19, 1962"
Oleksandr Zavarov,MF,171,70,"April 20, 1961"
Pavlo Yakovenko,MF,180,71,"December 19, 1964"
Andriy Bal,MF,180,0,"February 16, 1958"
Nikolay Larionov,DF-MF,176,0,"January 19, 1957"
Sergey Rodionov,FW,186,0,"September 3, 1962"
Vadym Yevtushenko,FW-MF,177,0,"January 1, 1958"
Oleh Blokhin,FW,180,75,"November 5, 1952"
Aleksandr Bubnov,DF,186,0,"October 10, 1955"
Viktor Chanov,GK,185,76,"July 21, 1959"
Hennadiy Lytovchenko,MF,178,0,"September 11, 1963"
Gennady Morozov,DF,177,0,"December 30, 1962"
Oleh Protasov,FW-MF,187,0,"February 4, 1964"
Aleksandre Chivadze,DF,173,0,"April 8, 1955"
Serhiy Krakovskyi,GK,184,78,"August 11, 1960"
Manuel Amoros,DF,172,0,"February 1, 1962"
Patrick Battiston,DF,182,0,"March 12, 1957"
Jean Tigana,MF,168,0,"June 23, 1955"
Maxime Bossis,DF,186,76,"June 26, 1955"
Joël Bats,GK,177,75,"January 4, 1957"
Michel Platini,MF,177,73,"June 21, 1955"
Luis Fernández,DF-MF,180,0,"October 2, 1959"
Alain Giresse,MF,163,59,"August 2, 1952"
Yannick Stopyra,FW,180,0,"January 9, 1961"
William Ayache,DF,176,0,"January 10, 1961"
Jean-Pierre Papin,FW,177,70,"November 5, 1963"
Dominique Rocheteau,FW-MF,176,68,"January 14, 1955"
Thierry Tusseau,DF-MF,175,0,"January 19, 1958"
Bruno Bellone,FW-MF,175,76,"March 14, 1962"
Jean-Marc Ferreri,FW-MF,172,0,"December 26, 1962"
Philippe Vercruysse,MF,184,0,"January 28, 1962"
Michel Bibard,DF,185,0,"November 30, 1958"
Bernard Genghini,MF,179,0,"January 18, 1958"
Albert Rust,GK,176,0,"October 10, 1953"
Yvon Le Roux,DF,189,0,"March 19, 1960"
Daniel Xuereb,FW,176,0,"June 22, 1959"
Philippe Bergeroo,GK,191,83,"January 13, 1954"
Lajos Détári,MF,180,76,"April 24, 1963"
Márton Esterházy,FW,182,0,"April 9, 1956"
Imre Garaba,DF,180,0,"July 29, 1958"
József Kardos,DF-MF,186,0,"March 29, 1960"
Sándor Sallai,DF,169,0,"March 26, 1960"
György Bognár,MF,192,0,"November 5, 1961"
Antal Nagy,FW,178,0,"May 16, 1944"
Péter Disztl,GK,188,0,"March 30, 1960"
József Kiprich,FW,180,0,"September 6, 1963"
József Varga,DF,180,73,"October 9, 1954"
Antal Róth,DF,187,0,"September 14, 1960"
László Dajka,MF,180,73,"April 29, 1959"
Győző Burcsa,MF,175,0,"March 13, 1954"
József Szendrei,GK,192,0,"April 25, 1954"
Kálmán Kovács,FW,174,0,"September 11, 1965"
Zoltán Péter,DF,186,0,"March 23, 1958"
Péter Hannich,FW-MF,177,0,"March 30, 1957"
József Andrusch,GK,173,0,"March 31, 1956"
József Csuhay,DF,0,0,"July 12, 1957"
László Disztl,DF,180,73,"June 4, 1962"
Gyula Hajszán,MF,173,0,"October 9, 1961"
József Nagy,MF,0,0,"October 21, 1960"
Ian Bridge,DF,185,0,"September 18, 1959"
Bob Lenarduzzi,DF,183,0,"May 1, 1955"
David Norman,MF,173,0,"May 6, 1962"
Randy Ragan,DF-MF,183,0,"June 7, 1959"
Randy Samuel,DF,185,0,"December 23, 1963"
Carl Valentine,FW,175,0,"July 4, 1958"
Bruce Wilson,DF,183,0,"June 20, 1951"
Paul James,MF,178,0,"November 11, 1963"
Tino Lettieri,GK,183,0,"September 27, 1957"
Igor Vrablic,FW,188,0,"July 19, 1965"
Gerry Gray,MF,175,0,"January 20, 1961"
Mike Sweeney,DF-MF,170,0,"December 25, 1959"
Paul Dolan,GK,193,0,"April 16, 1966"
Dale Mitchell,FW,185,0,"April 21, 1958"
Branko Šegota,FW,173,0,"June 8, 1961"
Jamie Lowery,MF,0,0,"January 15, 1961"
George Pakos,FW-MF,170,0,"August 14, 1952"
Sven Habermann,GK,0,0,"November 3, 1961"
Greg Ion,MF,178,0,"March 12, 1963"
Pasquale de Luca,MF,0,0,"May 26, 1962"
Colin Miller,DF,170,0,"October 4, 1964"
Terry Moore,DF,183,0,"June 2, 1958"
Alemão,MF,182,76,"November 22, 1961"
Branco,DF,179,77,"April 4, 1964"
Careca,FW,182,76,"October 5, 1960"
Júlio César,DF,185,78,"March 8, 1963"
Elzo Coelho,MF,177,76,"January 22, 1961"
Edinho,DF,180,77,"June 5, 1955"
Carlos Roberto Gallo,GK,188,82,"March 4, 1956"
Leovegildo Lins da Gama Júnior,DF-MF,172,0,"June 29, 1954"
Sócrates,FW-MF,192,80,"February 19, 1954"
Josimar,DF,175,66,"September 19, 1961"
Müller,FW,178,0,"January 31, 1966"
Walter Casagrande,FW,191,85,"April 15, 1963"
Édson Boaro,DF,179,66,"July 3, 1959"
Zico,MF,172,68,"March 3, 1953"
Paulo Roberto Falcão,MF,183,71,"October 16, 1953"
Silas Pereira,MF,175,70,"August 27, 1965"
Valdo Filho,MF,174,70,"January 12, 1964"
Mauro Galvão,DF,180,78,"December 19, 1961"
Émerson Leão,GK,179,77,"July 11, 1949"
Edivaldo Martins Fonseca,FW,172,72,"April 13, 1962"
Oscar,DF,185,82,"June 20, 1954"
Paulo Vitor,GK,182,0,"June 7, 1957"
José Antonio Camacho,DF,174,75,"June 8, 1955"
Víctor Muñoz,MF,169,0,"March 15, 1957"
Andoni Zubizarreta,GK,187,86,"October 23, 1961"
Míchel,MF,183,75,"March 23, 1963"
Emilio Butragueño,FW,168,68,"July 22, 1963"
Tomás Reñones,DF,171,0,"August 9, 1960"
Julio Salinas,FW,188,0,"September 11, 1962"
Ricardo Gallego,MF,178,0,"February 8, 1959"
Andoni Goikoetxea,DF,185,0,"May 23, 1956"
Ramón Calderé,MF,177,0,"January 16, 1959"
Julio Alberto Moreno,DF,177,0,"October 7, 1958"
Francisco,MF,177,0,"November 1, 1962"
Chendo,DF,175,73,"October 12, 1961"
Antonio Maceda,DF,189,0,"May 16, 1957"
Rafael Gordillo,DF-MF,179,74,"February 24, 1957"
Eloy Olaya,FW,167,0,"July 10, 1964"
Juan Antonio Señor,MF,167,0,"August 26, 1958"
Juan Carlos Ablanedo,GK,177,0,"September 2, 1963"
Francisco José Carrasco,FW-MF,169,0,"March 6, 1959"
Hipólito Rincón,FW,177,0,"April 28, 1957"
Quique Setién,MF,185,76,"September 27, 1958"
Javier Urruticoechea,GK,182,0,"February 17, 1952"
Mal Donaghy,DF,178,0,"September 13, 1957"
Pat Jennings,GK,183,0,"June 12, 1945"
David McCreery,MF,169,0,"September 16, 1957"
Alan McDonald,DF,188,0,"October 12, 1963"
Sammy McIlroy,FW-MF,178,0,"August 2, 1954"
Jimmy Nicholl,DF,175,0,"December 28, 1956"
John O'Neill,DF,182,0,"March 11, 1958"
Norman Whiteside,FW-MF,188,0,"May 7, 1965"
Colin Clarke,FW,180,0,"October 30, 1962"
Nigel Worthington,DF-MF,181,0,"November 4, 1961"
Steve Penney,FW-MF,175,0,"January 6, 1964"
Ian Stewart,FW,170,0,"September 10, 1961"
Billy Hamilton,FW,185,0,"May 9, 1957"
David Campbell,MF,175,0,"June 2, 1965"
Gerry Armstrong,FW,183,0,"May 23, 1954"
Mark Caughey,FW,180,0,"August 27, 1960"
Phil Hughes,GK,182,0,"November 19, 1964"
John McClelland,DF,185,0,"December 7, 1955"
Bernard McNally,MF,170,0,"February 17, 1963"
Jim Platt,GK,183,0,"January 26, 1952"
